Business Name,Description,Industry,Content Style,Writing Style,Image URL A,Image URL B
"Joe's Pizza","Family-owned pizzeria serving authentic New York style pizza since 1985","Restaurant","Warm & Inviting","Casual","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Joe's+Pizza+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Joe's+Pizza+Design+B"
"TechFlow Solutions","Cloud-based software solutions for modern businesses","Technology","Modern Minimalist","Professional","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=TechFlow+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=TechFlow+Design+B"
"Maple Street Cafe","Cozy neighborhood cafe with artisan coffee and fresh pastries","Food & Beverage","Rustic & Cozy","Friendly","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Maple+Cafe+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Maple+Cafe+Design+B"
"Elite Fitness Center","State-of-the-art gym with personal training and group classes","Health & Fitness","Bold & Energetic","Motivational","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Elite+Fitness+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Elite+Fitness+Design+B"
"Green Thumb Landscaping","Professional landscaping and garden maintenance services","Home Services","Natural & Organic","Conversational","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Green+Thumb+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Green+Thumb+Design+B"
"Bright Minds Tutoring","Academic tutoring for K-12 students in all subjects","Education","Bright & Encouraging","Inspirational","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Bright+Minds+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Bright+Minds+Design+B"
"Sunset Photography","Wedding and event photography capturing your special moments","Creative Services","Elegant & Artistic","Emotive","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Sunset+Photo+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Sunset+Photo+Design+B"
"Metro Auto Repair","Trusted auto repair and maintenance for all vehicle makes and models","Automotive","Reliable & Professional","Straightforward","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Metro+Auto+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Metro+Auto+Design+B"
"Bloom Flower Shop","Fresh flowers and custom arrangements for every occasion","Retail","Colorful & Vibrant","Warm","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Bloom+Flowers+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Bloom+Flowers+Design+B"
"Summit Real Estate","Helping you find your dream home in the greater metro area","Real Estate","Sophisticated & Trustworthy","Professional","https://via.placeholder.com/800x2400/3B82F6/ffffff?text=Summit+Realty+Design+A","https://via.placeholder.com/800x2400/10B981/ffffff?text=Summit+Realty+Design+B"

